iter	Passed	Remaining
0	141	141353
1	143	71394
2	144	48043
3	145	36307
4	147	29428
5	149	24812
6	151	21484
7	153	19000
8	154	17034
9	155	15425
10	156	14115
11	158	13022
12	160	12156
13	161	11342
14	161	10630
15	162	9998
16	163	9445
17	164	8953
18	164	8516
19	165	8117
20	166	7760
21	167	7432
22	167	7135
23	168	6858
24	169	6606
25	170	6372
26	171	6194
27	173	6009
28	174	5836
29	175	5672
30	176	5506
31	176	5351
32	177	5206
33	178	5070
34	179	4940
35	179	4818
36	180	4701
37	181	4594
38	182	4487
39	182	4390
40	183	4296
41	184	4208
42	185	4136
43	186	4057
44	187	3979
45	188	3907
46	189	3838
47	190	3773
48	191	3710
49	192	3658
50	193	3601
51	194	3547
52	195	3490
53	196	3436
54	196	3382
55	197	3333
56	198	3284
57	199	3240
58	200	3195
59	201	3153
60	202	3117
61	203	3077
62	204	3038
63	205	2998
64	205	2958
65	206	2920
66	207	2883
67	207	2848
68	208	2813
69	209	2780
70	209	2747
71	210	2716
72	211	2685
73	212	2655
74	212	2626
75	214	2604
76	215	2580
77	216	2557
78	217	2538
79	218	2518
80	219	2492
81	220	2467
82	220	2439
83	221	2417
84	222	2394
85	223	2372
86	223	2349
87	224	2327
88	225	2306
89	226	2286
90	226	2266
91	227	2247
92	228	2228
93	229	2212
94	230	2196
95	231	2182
96	232	2164
97	233	2147
98	234	2130
99	234	2113
100	235	2097
101	236	2081
102	237	2065
103	238	2050
104	238	2035
105	239	2019
106	240	2004
107	240	1990
108	241	1977
109	242	1962
110	243	1949
111	244	1935
112	245	1923
113	245	1911
114	246	1900
115	248	1891
116	248	1877
117	249	1865
118	250	1853
119	251	1841
120	251	1829
121	252	1817
122	253	1806
123	254	1794
124	254	1783
125	255	1774
126	256	1763
127	257	1753
128	258	1743
129	259	1734
130	260	1725
131	260	1716
132	262	1710
133	263	1702
134	264	1694
135	265	1684
136	265	1675
137	266	1665
138	267	1656
139	268	1647
140	268	1638
141	269	1627
142	270	1620
143	271	1612
144	272	1604
145	272	1596
146	273	1587
147	274	1580
148	275	1573
149	276	1566
150	277	1559
151	278	1552
152	279	1545
153	280	1539
154	281	1534
155	282	1527
156	283	1523
157	284	1516
158	285	1508
159	286	1502
160	286	1493
161	287	1487
162	288	1480
163	289	1474
164	290	1468
165	291	1462
166	291	1456
167	292	1450
168	293	1444
169	294	1437
170	295	1431
171	296	1425
172	296	1419
173	297	1413
174	298	1407
175	299	1401
176	300	1396
177	300	1389
178	301	1384
179	302	1377
180	303	1372
181	304	1366
182	304	1361
183	306	1357
184	306	1352
185	308	1349
186	309	1344
187	309	1338
188	310	1333
189	311	1327
190	312	1323
191	313	1319
192	314	1314
193	315	1309
194	316	1304
195	316	1299
196	317	1294
197	318	1289
198	319	1285
199	320	1281
200	321	1278
201	322	1273
202	323	1270
203	324	1266
204	325	1261
205	326	1258
206	328	1258
207	329	1256
208	331	1255
209	333	1256
210	335	1255
211	336	1252
212	338	1248
213	339	1245
214	339	1241
215	340	1237
216	341	1233
217	342	1228
218	343	1224
219	344	1220
220	345	1216
221	346	1213
222	347	1209
223	347	1205
224	348	1201
225	349	1197
226	350	1194
227	351	1190
228	353	1188
229	353	1184
230	354	1181
231	355	1177
232	356	1173
233	357	1169
234	358	1165
235	358	1161
236	359	1157
237	360	1154
238	361	1150
239	363	1151
240	364	1148
241	365	1145
242	366	1141
243	367	1138
244	368	1134
245	368	1130
246	369	1127
247	370	1123
248	371	1119
249	371	1115
250	372	1112
251	373	1108
252	374	1104
253	374	1101
254	376	1098
255	377	1096
256	378	1093
257	379	1091
258	380	1088
259	381	1084
260	381	1080
261	382	1077
262	383	1074
263	384	1070
264	384	1067
